fate,count,library,sample
low quality barcode,3702664,Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_3.99_1
unparseable barcode,702048,Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_3.99_1
failed chastity filter,0,Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_3.99_1
valid barcode,16733090,Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_3.99_1
invalid barcode,3268412,Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_3.99_1
