fate,count,library,sample
low quality barcode,4344119,Lib-2,2022-03-14_thaw-3_no-antibody_control_1
unparseable barcode,481656,Lib-2,2022-03-14_thaw-3_no-antibody_control_1
failed chastity filter,0,Lib-2,2022-03-14_thaw-3_no-antibody_control_1
valid barcode,17447264,Lib-2,2022-03-14_thaw-3_no-antibody_control_1
invalid barcode,2007746,Lib-2,2022-03-14_thaw-3_no-antibody_control_1
