fate,count,library,sample
low quality barcode,3859289,Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_8.79_1
unparseable barcode,1609407,Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_8.79_1
failed chastity filter,0,Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_8.79_1
valid barcode,16392945,Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_8.79_1
invalid barcode,3301401,Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_8.79_1
