fate,count,library,sample
low quality barcode,4510987,Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_0.8_1
unparseable barcode,889967,Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_0.8_1
failed chastity filter,0,Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_0.8_1
valid barcode,18085018,Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_0.8_1
invalid barcode,2613649,Lib-2,2022-03-14_thaw-3_antibody_COV2-2130_0.8_1
