fate,count,library,sample
low quality barcode,3997490,Lib-1,2022-03-14_thaw-3_antibody_COV2-2130_3.99_1
unparseable barcode,1068813,Lib-1,2022-03-14_thaw-3_antibody_COV2-2130_3.99_1
failed chastity filter,0,Lib-1,2022-03-14_thaw-3_antibody_COV2-2130_3.99_1
valid barcode,16341482,Lib-1,2022-03-14_thaw-3_antibody_COV2-2130_3.99_1
invalid barcode,3439116,Lib-1,2022-03-14_thaw-3_antibody_COV2-2130_3.99_1
