fate,count,library,sample
low quality barcode,3716372,Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_8.79_1
unparseable barcode,660793,Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_8.79_1
failed chastity filter,0,Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_8.79_1
valid barcode,16641218,Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_8.79_1
invalid barcode,3489172,Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_8.79_1
