fate,count,library,sample
low quality barcode,4260252,Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_1.76_1
unparseable barcode,457173,Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_1.76_1
failed chastity filter,0,Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_1.76_1
valid barcode,17398758,Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_1.76_1
invalid barcode,1951618,Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_1.76_1
