fate,count,library,sample
low quality barcode,4070684,Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_43.94_1
unparseable barcode,1311215,Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_43.94_1
failed chastity filter,0,Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_43.94_1
valid barcode,13197962,Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_43.94_1
invalid barcode,8348862,Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_43.94_1
