library,antibody_sample,no-antibody_sample,n_aa_substitutions,antibody_neut_standard_count,no-antibody_neut_standard_count,antibody_count,no-antibody_count,prob_escape_uncensored,prob_escape
Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_1.76_1,2022-03-14_thaw-3_no-antibody_control_1,0,283962,231982,3744587,3253675,0.9402,0.9402
Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_1.76_1,2022-03-14_thaw-3_no-antibody_control_1,1,283962,231982,5417378,4711908,0.9393,0.9393
Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_1.76_1,2022-03-14_thaw-3_no-antibody_control_1,2,283962,231982,4138823,3593369,0.941,0.941
Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_1.76_1,2022-03-14_thaw-3_no-antibody_control_1,3,283962,231982,2262226,1970147,0.9381,0.9381
Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_1.76_1,2022-03-14_thaw-3_no-antibody_control_1,4,283962,231982,1467598,1274858,0.9405,0.9405
Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_43.94_1,2022-03-14_thaw-3_no-antibody_control_1,0,6285313,231982,591729,3253675,0.006712,0.006712
Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_43.94_1,2022-03-14_thaw-3_no-antibody_control_1,1,6285313,231982,1431585,4711908,0.01121,0.01121
Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_43.94_1,2022-03-14_thaw-3_no-antibody_control_1,2,6285313,231982,1695232,3593369,0.01741,0.01741
Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_43.94_1,2022-03-14_thaw-3_no-antibody_control_1,3,6285313,231982,1406740,1970147,0.02635,0.02635
Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_43.94_1,2022-03-14_thaw-3_no-antibody_control_1,4,6285313,231982,1787363,1274858,0.05175,0.05175
Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_8.79_1,2022-03-14_thaw-3_no-antibody_control_1,0,4535977,231982,1671775,3253675,0.02628,0.02628
Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_8.79_1,2022-03-14_thaw-3_no-antibody_control_1,1,4535977,231982,3062477,4711908,0.03324,0.03324
Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_8.79_1,2022-03-14_thaw-3_no-antibody_control_1,2,4535977,231982,2987178,3593369,0.04252,0.04252
Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_8.79_1,2022-03-14_thaw-3_no-antibody_control_1,3,4535977,231982,2119585,1970147,0.05502,0.05502
Lib-1,2022-03-14_thaw-3_antibody_2130-1-0114-112_8.79_1,2022-03-14_thaw-3_no-antibody_control_1,4,4535977,231982,2015953,1274858,0.08087,0.08087
