library,antibody_sample,no-antibody_sample,antibody,antibody_concentration,antibody_count,antibody_frac,no-antibody_count,no-antibody_frac
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_1.76_1,2022-03-14_thaw-3_no-antibody_control_1,2130-1-0114-112,1.76,329697,0.01895,260450,0.01493
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_8.79_1,2022-03-14_thaw-3_no-antibody_control_1,2130-1-0114-112,8.79,7232593,0.4346,260450,0.01493
Lib-2,2022-03-14_thaw-3_antibody_2130-1-0114-112_43.94_1,2022-03-14_thaw-3_no-antibody_control_1,2130-1-0114-112,43.94,7821989,0.4768,260450,0.01493
