date,virus_batch,library,sample_type,antibody,antibody_concentration,replicate,fastq_R1,exclude_after_counts,notes
2022-03-14,thaw-3,Lib-1,no-antibody_control,,,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA2_15_S15_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-2,no-antibody_control,,,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA2_25_S25_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-1,antibody,COV2-2130,0.8,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA2_16_S16_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-1,antibody,COV2-2130,3.99,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA2_17_S17_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-1,antibody,COV2-2130,19.95,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA2_18_S18_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-1,antibody,2130-1-0114-112,1.76,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA2_19_S19_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-1,antibody,2130-1-0114-112,8.79,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA2_20_S20_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-1,antibody,2130-1-0114-112,43.94,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA2_21_S21_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-2,antibody,COV2-2130,0.8,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA2_26_S26_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-2,antibody,COV2-2130,3.99,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA2_27_S27_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-2,antibody,COV2-2130,19.95,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA2_28_S28_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-2,antibody,2130-1-0114-112,1.76,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA2_29_S29_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-2,antibody,2130-1-0114-112,8.79,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA2_30_S30_R1_001.fastq.gz,,
2022-03-14,thaw-3,Lib-2,antibody,2130-1-0114-112,43.94,1,/fh/fast/bloom_j/SR/ngs/illumina/bdadonai/230213_VH01189_64_AAAYVG7HV/Unaligned/Project_bdadonai/BA2_31_S31_R1_001.fastq.gz,,
